id,family,sameCut,expectedFirstKeptId,tokensBefore,b0_ok,b1_ok,b0_fromHook,b1_fromHook,b0_firstKept,b1_firstKept,b0_summaryTokens,b1_summaryTokens,b0_probeInput,b1_probeInput,b0_probeOutput,b1_probeOutput,b0_compactUsage,b1_compactUsage,b0_compactLatencyMs,b1_compactLatencyMs,b0_budgetMismatch,b1_budgetMismatch,b0_closedLoop,b1_closedLoop,b0_quality,b1_quality,b0_polarity,b1_polarity,b0_time,b1_time,b0_update,b1_update,b0_abstention,b1_abstention,b0_directiveCoverage,b1_directiveCoverage,b0_mustOmitLeak,b1_mustOmitLeak,b0_constraintViolation,b1_constraintViolation,b0_unsupported,b1_unsupported,b0_recovered,b1_recovered
th-00,tool-heavy,True,587dfbaf,6174,True,True,False,True,587dfbaf,587dfbaf,476,134,633,340,331,530,1611,0,10256,1440,False,False,0,1,0.75,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,False,True
th-01,tool-heavy,True,96b9bb43,6174,True,True,False,True,96b9bb43,96b9bb43,486,134,799,524,421,282,1589,0,9981,955,False,False,0,1,0.75,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,False,True
th-02,tool-heavy,True,d00b1b12,6174,True,True,False,True,d00b1b12,d00b1b12,504,134,840,522,133,74,1649,0,10751,1293,False,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,False,True
th-03,tool-heavy,True,cc89255d,6174,True,True,False,True,cc89255d,cc89255d,457,134,790,523,620,127,1581,0,9440,1136,False,False,0,1,0.75,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,True,True
th-04,tool-heavy,True,3454de28,6174,True,True,False,True,3454de28,3454de28,491,134,839,524,191,164,1644,0,11055,1690,False,False,0,1,0.75,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,False,True
th-05,tool-heavy,True,c45ebf79,6174,True,True,False,True,c45ebf79,c45ebf79,510,134,846,523,205,130,1645,0,10306,1109,False,False,0,1,0.75,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,False,True
th-06,tool-heavy,True,c51ed803,6174,True,True,False,True,c51ed803,c51ed803,405,134,747,523,143,358,1559,0,9260,1064,False,False,0,1,0.75,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,False,True
th-07,tool-heavy,True,19be9888,6174,True,True,False,True,19be9888,19be9888,460,134,552,283,289,104,1587,0,10141,1621,False,False,0,1,0.75,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,False,True
th-08,tool-heavy,True,047b9be7,6179,True,True,False,True,047b9be7,047b9be7,566,140,928,528,157,129,1714,0,11182,1009,False,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,False,True
th-09,tool-heavy,True,cd19d58f,6179,True,True,False,True,cd19d58f,cd19d58f,518,140,878,526,73,114,1664,0,10616,1045,False,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,False,True
